TAIR Accession	Locus	Gene Model	Gene Type	Description	Other Name(Type)	Keywords	Is full length cDNA
Gene:2172308	AT5G18170	AT5G18170.1	protein_coding	Encodes the 43 kDa alpha-subunit of the glutamate dehydrogenase with a putative mitochondrial transit polypeptide and NAD(H)- and alpha-ketoglutarate-binding domains. Mitochondrial localization confirmed by subcellular fractionation. Combines in several ratios with GDH2 protein (GDH-beta) to form seven isoenzymes. Catalyzes the cleavage of glycine residues. May be involved in ammonia assimilation under conditions of inorganic nitrogen excess. The enzyme is almost exclusively found in the mitochondria of stem and leaf companion cells.	GDH1; GLUTAMATE DEHYDROGENASE 1	 cytoplasm, mitochondrion, ATP binding, seed, root, cultured plant cell, ATP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, amino acid metabolic process, carpel, cauline leaf, cobalt ion binding, collective leaf structure, companion cell, copper ion binding, cotyledon, cultured plant cell, cytoplasm, flower, flower pedicel, flowering stage, fruit, glutamate catabolic process, glutamate dehydrogenase (NAD+) activity, glutamate dehydrogenase [NAD(P)+] activity, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, mitochondrion, nitrogen compound metabolic process, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plastid, pollen, response to absence of light, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage, zinc ion binding	true
Gene:6532546223	AT3G54140	AT3G54140.2	protein_coding	Encodes a di- and tri-peptide transporter that recognizes a variety of different amino acid combinations. GFP-tagged PTR1 localizes to the plasma membrane and has 8 to 11 predicted transmembrane domains. PTR1 is expressed in a number of different vascular tissues throughout the plant based on promoter:GUS expression analysis. ptr1 mutants have a lower dry weight than wild type plants when both are grown with Pro-Ala or Ala-Ala dipeptides as their nitrogen source, suggesting that PTR1 plays a role in dipeptide uptake in the roots. Furthermore N content of ptr1 mutants is lower than that of wild type plants when grown with Pro-Ala or a mixture of dipeptides as nitrogen source		 nucleus, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, aleurone layer, anther vascular system, carpel, carpel vascular system, cauline leaf, collective leaf structure, cotyledon, cotyledon vascular system, cultured plant cell, dipeptide transmembrane transporter activity, dipeptide transport, flower, flower pedicel, flowering stage, fruit, fruit pedicel, guard cell, hydathode, hypocotyl, hypocotyl vascular system, inflorescence meristem, leaf apex, leaf lamina base, leaf trichome, leaf vascular system, membrane, nitrogen compound metabolic process, non-hair root epidermal cell, nucleus, petal, petal differentiation and expansion stage, petiole, phloem, plant embryo, plant embryo globular stage, plasma membrane, plasmodesma, pollen, root, root epidermis, root stele, root tip, root vascular system, sepal, sepal vascular system, shoot apex, shoot system, stamen, stem, stigma, style, transmembrane transport, tripeptide transmembrane transporter activity, tripeptide transport, vascular leaf, vascular leaf senescent stage	true
Gene:2146717	AT5G04140	AT5G04140.1	protein_coding	Encodes a gene whose sequence is similar to ferredoxin dependent glutamate synthase (Fd-GOGAT). Expression in leaves is induced by light and sucrose. Proposed to be involved in photorespiration and nitrogen assimilation. The mRNA is cell-to-cell mobile.	FD-GOGAT; FERREDOXIN-DEPENDENT GLUTAMATE SYNTHASE; FERREDOXIN-DEPENDENT GLUTAMATE SYNTHASE 1; GLS1; GLU1; GLUS; GLUTAMATE SYNTHASE 1	 chloroplast, chloroplast stroma, mitochondrion, enzyme activator activity, glutamate synthase (ferredoxin) activity, photorespiration, chloroplast envelope, apoplast, vascular leaf, juvenile vascular leaf, seedling development stage, L-glutamate biosynthetic process, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, ammonia assimilation cycle, apoplast, carpel, cauline leaf, cell-to-cell mobile RNA, chloroplast, chloroplast envelope, chloroplast stroma, collective leaf structure, cotyledon, endosperm, enzyme activator activity, epidermis, flower, flower pedicel, flowering stage, glutamate biosynthetic process, glutamate synthase (NADH) activity, glutamate synthase (ferredoxin) activity, guard cell, hypocotyl, inflorescence meristem, juvenile vascular leaf, leaf apex, leaf lamina base, leaf lamina vein, leaf mesophyll, mRNA binding, mature plant embryo stage, mitochondrion, petal, petal differentiation and expansion stage, petiole, photorespiration, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, pollen, protein binding, response to light stimulus, response to sucrose, rosette leaf, seed, seedling development stage, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:2009471	AT1G22550	AT1G22550.1	protein_coding	Tonoplast localized pH dependent, low affinity nitrogen transporter.In shoots,  expressed in leaf veins and mesophyll. In roots, GUS activity was detected in root vascular stele. More highly expressed in roots.	NPF5.16	 LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, collective leaf structure, cotyledon, dipeptide transmembrane transporter activity, flower, flower pedicel, flowering stage, guard cell, hypocotyl, leaf, leaf apex, leaf lamina base, low-affinity nitrate transmembrane transporter activity, mature plant embryo stage, membrane, nitrate transmembrane transport, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant-type vacuole membrane, root, root vascular system, seed, sepal, shoot apex, shoot system, shoot system vascular system, stem, transmembrane transport, transmembrane transporter activity, tripeptide transmembrane transporter activity, vascular leaf	true
Gene:1009022129	AT4G15530	AT4G15530.3	protein_coding	The product of this shorter transcript (no chloroplast targeting sequence) was shown to accumulate in the cytosol, whereas the longest transcript was found in the chloroplast. They were also found in slightly different tissues.	PPDK; PYRUVATE ORTHOPHOSPHATE DIKINASE	 chloroplast, cytosol, seed, cultured plant cell, pollen, L mature pollen stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, NOT cytosol, carpel, cauline leaf, chloroplast, chloroplast stroma, collective leaf structure, cotyledon, cultured plant cell, cytosol, flower, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo globular stage, pollen, pollen tube cell, pyruvate metabolic process, pyruvate, phosphate dikinase activity, rosette leaf, seed, sepal, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:4010712142	AT1G77300	AT1G77300.2	protein_coding	Encodes a protein with histone lysine N-methyltransferase activity required specifically for the trimethylation of H3-K4 in FLC chromatin (and not in H3-K36 dimethylation). Acts as an inhibitor of flowering specifically involved in the autonomous promotion pathway. EFS also regulates the expression of genes involved in carotenoid biosynthesis and nitrogen assimilation.Modification of histone methylation at the CRTISO locus reduces transcript levels 90%. The increased shoot branching seen in some EFS mutants is likely due to the carotenoid biosynthesis defect having an effect on stringolactones.Required for ovule, embryo sac, anther and pollen development.	ASH1 HOMOLOG 2; ASHH2; EARLY FLOWERING IN SHORT DAYS; EFS; LAZ2; LAZARUS 2; SDG8; SET DOMAIN GROUP 8	 nucleus, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, NOT histone H3K36 methyltransferase activity, SUMO binding, anther development, carotenoid metabolic process, carpel, chromatin, collective leaf structure, cotyledon, embryo sac development, epigenetic regulation of gene expression, flower, flower pedicel, flowering stage, guard cell, histone H3K36 methyltransferase activity, histone H3K4 methyltransferase activity, hypocotyl, inflorescence, inflorescence meristem, leaf lamina base, mature plant embryo stage, negative regulation of flower development, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, pollen, pollen development, protein binding, regulation of DNA-templated transcription, regulation of plant-type hypersensitive response, regulation of programmed cell death, response to nitrate starvation, root, root tip, secondary shoot formation, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage, zinc ion binding	true
Gene:4010712894	AT4G15530	AT4G15530.4	protein_coding	Encodes a dual-targeted protein believed to act as a pyruvate, orthophosphate dikinase. These enzymes are normally associated with C4 photosynthesis which does not occur in Arabidopsis. However, PPDK may play a role in remobilizing nitrogen during leaf senescence in Arabidopsis. The product of the long transcript (.1 gene model) was shown to be targeted to the chloroplast, whereas the shorter transcript (no targeting sequence) accumulates in the cytosol. The two proteins were also found to be expressed in slightly different tissues.	PPDK; PYRUVATE ORTHOPHOSPHATE DIKINASE	 chloroplast, cytosol, seed, cultured plant cell, L mature pollen stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, NOT cytosol, carpel, cauline leaf, chloroplast, chloroplast stroma, collective leaf structure, cotyledon, cultured plant cell, cytosol, flower, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo globular stage, pollen, pollen tube cell, pyruvate metabolic process, pyruvate, phosphate dikinase activity, rosette leaf, seed, sepal, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:2134940	AT4G24020	AT4G24020.1	protein_coding	Encodes NIN Like Protein 7 (NLP7).  Modulates nitrate sensing and metabolism.  Mutants of NLP7 show features of nitrogen-starved plants and are tolerant to drought stress.  Localized in the nucleus and functions as a putative transcription factor. The mRNA is cell-to-cell mobile.	NIN LIKE PROTEIN 7; NLP7	 nucleus, DNA-binding transcription factor activity, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, cell-to-cell mobile RNA, cis-regulatory region sequence-specific DNA binding, collective leaf structure, core promoter sequence-specific DNA binding, cotyledon, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, nitrate assimilation, nucleus, parenchyma cell, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, pollen, response to nitrate, response to water deprivation, root, root hair cell, seed, seminal root, sepal, shoot apex, shoot axis vascular system, shoot system, stamen, stem, stomatal complex, stomatal movement, transcription cis-regulatory region binding, vascular leaf, vascular leaf senescent stage	true
Gene:2205338	AT1G13300	AT1G13300.1	protein_coding	Encodes a nuclear localized member of the GARP family of transcription factors. Involved in nitrate/phosphate signaling in roots. It is transcriptionally regulated by nitrate and post transcriptionally by phosphate and functions to integrate these two nutrient signaling pathways in the root. HRS1 and HHO2 are involved in Ni cross regulation of Pi signaling. They function as transcriptional repressors of SPX1, SPX2, and SPX4 as part of a cascade to regulate nitrogen and phosphorus balance.	ATNIGT1; HRS1; HYPERSENSITIVITY TO LOW PI-ELICITED PRIMARY ROOT  SHORTENING 1; NIGT1.4; NITRATE-INDUCIBLE, GARP-TYPE TRANSCRIPTIONAL REPRESSOR 1/HYPERSENSITIVE TO LOW PI-ELICITED PRIMARY ROOT SHORTENING 1.4	 nucleus, DNA-binding transcription factor activity, DNA-binding transcription repressor activity, cellular response to hypoxia, cellular response to nitrogen compound, cellular response to phosphate starvation, hypocotyl, negative regulation of abscisic acid-activated signaling pathway, nucleus, primary root development, regulation of DNA-templated transcription, regulation of response to nutrient levels, root, root hair cell	true
Gene:2008797	AT1G67550	AT1G67550.1	protein_coding	Encodes a nickel-containing urea hydrolase involved in nitrogen recycling.  It requires three urease accessory proteins for its activation. The mRNA is cell-to-cell mobile.	URE; UREASE	 cytoplasm, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, cauline leaf, cell-to-cell mobile RNA, collective leaf structure, cotyledon, cytoplasm, cytosol, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, nickel cation binding, nitrogen compound metabolic process, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, pollen, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, urea catabolic process, urease activity, urease complex, vascular leaf, vascular leaf senescent stage	false
Gene:2120617	AT4G21980	AT4G21980.1	protein_coding	Encodes APG8, a component of autophagy conjugation pathway. Delivered to the lumens of  vacuole under nitrogen-starvation condition. Highest expression in flowers. mRNA abundance increased during dark-induced  carbon starvation. Predominantly cytoplasmic with or without N starvation. Upon concanamycin A the protein accumulates in the central vacuole as punctuate structures that resemble autophagic bodies. This localization  is more abundant upon N starvation. The mRNA is cell-to-cell mobile.	APG8A; ATG8A; AUTOPHAGY 8A; AUTOPHAGY-RELATED 8A	 chloroplast, Atg8 activating enzyme activity, Atg8-family ligase activity, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, autophagosome, autophagosome assembly, autophagosome maturation, autophagosome membrane, autophagy, autophagy of mitochondrion, carpel, cauline leaf, cell-to-cell mobile RNA, cellular response to nitrogen starvation, chloroplast, collective leaf structure, cotyledon, cytoplasm, defense response to fungus, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, phagophore, phosphatidylethanolamine binding, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, pollen, pollen tube cell, protein binding, protein-phosphatidylethanolamide deconjugating activity, root, seed, sepal, shoot apex, shoot system, stamen, stem, vacuolar lumen, vascular leaf, vascular leaf senescent stage	true
Gene:2158246	AT5G67420	AT5G67420.1	protein_coding	Encodes a LOB-domain protein involved in nitrogen metabolism and affecting leaf morphogenesis.	ASL39; ASYMMETRIC LEAVES2-LIKE 39; LBD37; LOB DOMAIN-CONTAINING PROTEIN 37	 mitochondrion, DNA-binding transcription repressor activity, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, mitochondrion, nitrogen compound metabolic process, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, pollen, regulation of gene expression, root, seed, sepal, shoot apex, shoot system, simple leaf morphogenesis, stamen, stem, transcription cis-regulatory region binding, vascular leaf, vascular leaf senescent stage	true
Gene:1005714490	AT3G26680	AT3G26680.2	protein_coding	involved in a SNM-dependent recombinational  repair process of oxidatively induced DNA damage.	SENSITIVE TO NITROGEN MUSTARD 1; SNM1	 nucleus, 5'-3' DNA exonuclease activity, DNA repair, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, carpel, cauline leaf, collective leaf structure, cotyledon, damaged DNA binding, double-strand break repair via nonhomologous end joining, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, interstrand cross-link repair, leaf apex, leaf lamina base, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, pollen, pollen tube cell, root, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:6532563099	AT5G65720	AT5G65720.3	protein_coding	Encodes a cysteine desulfurase whose activity is dependent on AtSufE activation. It requires pyridoxal phosphate (PLP) for proper folding.  Its catalytic efficiency is increase three-fold in the presence of AtFH (frataxin).		 chloroplast, ATP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, [2Fe-2S] cluster assembly, carpel, cauline leaf, chloroplast, collective leaf structure, cotyledon, cysteine desulfurase activity, cytosol, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, iron-sulfur cluster assembly, leaf apex, leaf lamina base, mature plant embryo stage, mitochondrion, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plastid, pollen, protein binding, pyridoxal phosphate binding, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage, zinc ion binding	true
Gene:2143773	AT5G28050	AT5G28050.1	protein_coding	Specifically deaminates (de)guanosine to produce xanthosine with high specificity, which is further converted to xanthine, a key intermediate in purine metabolism and  nitrogen recycling.	GSDA; GUANOSINE DEAMINASE	 cytoplasm, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, carpel, cauline leaf, collective leaf structure, cotyledon, cytoplasm, cytosol, extracellular region, flower, flower pedicel, flowering stage, guanosine deaminase activity, guard cell, hydrolase activity, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plastid, pollen, pollen tube cell, purine nucleoside catabolic process, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage, zinc ion binding	true
Gene:1005715251	AT1G15040	AT1G15040.2	protein_coding	Encodes a nitrogen regulated putative glutamine amidotransferase that represses shoot branching.	GAT; GAT1_2.1; GLUTAMINE AMIDOTRANSFERASE; GLUTAMINE AMIDOTRANSFERASE 1_2.1	 cellular component unknown, guard cell, hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides, hypocotyl, regulation of secondary shoot formation, root, root hair cell, trichoblast	true
Gene:2080234	AT3G54140	AT3G54140.1	protein_coding	Encodes a di- and tri-peptide transporter that recognizes a variety of different amino acid combinations. GFP-tagged PTR1 localizes to the plasma membrane and has 8 to 11 predicted transmembrane domains. PTR1 is expressed in a number of different vascular tissues throughout the plant based on promoter:GUS expression analysis. ptr1 mutants have a lower dry weight than wild type plants when both are grown with Pro-Ala or Ala-Ala dipeptides as their nitrogen source, suggesting that PTR1 plays a role in dipeptide uptake in the roots. Furthermore N content of ptr1 mutants is lower than that of wild type plants when grown with Pro-Ala or a mixture of dipeptides as nitrogen source	ARABIDOPSIS THALIANA PEPTIDE TRANSPORTER 1; ATNPF8.1; ATPTR1; NPF8.1; NRT1/ PTR FAMILY 8.1; PEPTIDE TRANSPORTER 1; PTR1	 nucleus, plasma membrane, plasmodesma, cultured plant cell, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, aleurone layer, anther vascular system, carpel, carpel vascular system, cauline leaf, collective leaf structure, cotyledon, cotyledon vascular system, cultured plant cell, dipeptide transmembrane transporter activity, dipeptide transport, flower, flower pedicel, flowering stage, fruit, fruit pedicel, guard cell, hydathode, hypocotyl, hypocotyl vascular system, inflorescence meristem, leaf apex, leaf lamina base, leaf trichome, leaf vascular system, membrane, nitrogen compound metabolic process, non-hair root epidermal cell, nucleus, petal, petal differentiation and expansion stage, petiole, phloem, plant embryo, plant embryo globular stage, plasma membrane, plasmodesma, pollen, root, root epidermis, root stele, root tip, root vascular system, sepal, sepal vascular system, shoot apex, shoot system, stamen, stem, stigma, style, transmembrane transport, tripeptide transmembrane transporter activity, tripeptide transport, vascular leaf, vascular leaf senescent stage	true
Gene:2205666	AT1G55090	AT1G55090.1	protein_coding	carbon-nitrogen hydrolase family protein;(source:Araport11)		 LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, NAD biosynthetic process, NAD+ synthase (glutamine-hydrolyzing) activity, carpel, cauline leaf, cell-to-cell mobile RNA, collective leaf structure, cotyledon, cytoplasm, flower, flower pedicel, flowering stage, glutaminase activity, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, pollen, root, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:3693506	AT1G72130	AT1G72130.1	protein_coding	Tonoplast localized pH dependent, low affinity nitrogen transporter.In shoots,  expressed in leaf veins and mesophyll. In roots, GUS activity was detected in root vascular stele. More highly expressed in roots.	NPF5.11	 dipeptide transmembrane transporter activity, guard cell, leaf, low-affinity nitrate transmembrane transporter activity, membrane, nitrate transmembrane transport, plant-type vacuole membrane, root vascular system, shoot system vascular system, transmembrane transport, transmembrane transporter activity, tripeptide transmembrane transporter activity	true
Gene:1006228057	AT2G38290	AT2G38290.2	protein_coding	encodes a high-affinity ammonium transporter, which is expressed in shoot and root. Expression in root and shoot is under nitrogen and carbon dioxide regulation, respectively.	AMMONIUM TRANSPORTER 2; AMMONIUM TRANSPORTER 2;1; AMT2; AMT2;1; ATAMT2	 plasma membrane, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, ammonium transmembrane transport, ammonium transmembrane transporter activity, carpel, cauline leaf, collective leaf structure, cotyledon, cytoplasm, flower, flower pedicel, flowering stage, guard cell, high-affinity secondary active ammonium transmembrane transporter activity, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plasma membrane, plasmodesma, pollen, response to nematode, root, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:6532557319	AT5G21170	AT5G21170.3	protein_coding	Encodes AKINbeta1, a subunit of the SnRK1 kinase (Sucrose non-fermenting-1-related protein kinase).  Involved in regulation of nitrogen and sugar metabolism. As part of the regulatory subunit, it binds maltose which promotes kinase activity. Acts as a global regulator of genes involved in carbon, lipid and nitrogen metabolism.		 cytoplasm, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, N-terminal protein myristoylation, carpel, cauline leaf, cellular response to nitrogen levels, chloroplast, collective leaf structure, cotyledon, cytoplasm, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, maltose binding, mature plant embryo stage, nucleotide-activated protein kinase complex, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant ovule, plant sperm cell, pollen, pollen tube cell, protein binding, protein kinase regulator activity, root, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:2141354	AT4G01900	AT4G01900.1	protein_coding	encodes a PII protein that may function as part of a signal transduction network involved in perceiving the status of carbon and organic nitrogen. Forms a protein complex with N-acetylglutamate kinase and regulates the kinase activity by relieving the feedback inhibition of the kinase by arginine.  Regulates acetyl-CoA carboxylase activity.	GLB1; GLNB1 HOMOLOG; PII	 chloroplast, chloroplast thylakoid, vascular leaf, ATP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, acetylglutamate kinase regulator activity, anthocyanin-containing compound biosynthetic process, carpel, cauline leaf, chloroplast, chloroplast thylakoid, collective leaf structure, cotyledon, cytosol, enzyme regulator activity, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, magnesium ion binding, mature plant embryo stage, nitrogen compound metabolic process, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plastid, pollen, pollen tube cell, protein binding, regulation of arginine biosynthetic process via ornithine, regulation of fatty acid biosynthetic process, regulation of nitrogen utilization, response to light stimulus, response to sucrose, root, rosette leaf, seed, seed development stage, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:2172451	AT5G43940	AT5G43940.1	protein_coding	Encodes a glutathione-dependent formaldehyde dehydrogenase (also known as class III type alcohol dehydrogenase) reduces S-nitrosoglutathione (GSNO), the condensation product of glutathione and NO, that is a naturally occurring NO reservoir and also a reactive nitrogen intermediate. Gene expression is reduced by wounding and induced by salicylic acid. Is required for the acclimation of plants to high temperature and for fertility.	ADH2; ALCOHOL DEHYDROGENASE 2; ATGSNOR1; GSNOR; HOT5; PAR2; PARAQUAT RESISTANT 2; S-NITROSOGLUTATHIONE REDUCTASE; SENSITIVE TO HOT TEMPERATURES 5	 cytoplasm, peroxisome, cotyledon, seedling development stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, S-(hydroxymethyl)glutathione dehydrogenase NAD activity, S-(hydroxymethyl)glutathione dehydrogenase NADP activity, S-(hydroxymethyl)glutathione dehydrogenase activity, S-nitrosoglutathione reductase activity, alcohol dehydrogenase activity, zinc-dependent, carpel, cauline leaf, collective leaf structure, cotyledon, cytoplasm, cytosol, ethanol oxidation, flower, flower pedicel, flowering stage, formaldehyde catabolic process, formaldehyde metabolic process, guard cell, heat acclimation, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, peroxisome, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plastid, pollen, programmed cell death, root, rosette leaf, seed, seed development, seedling development stage, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage, zinc ion binding	true
